Zip_Code,Total_Pop,18-24_Pop,18-24_Percentage,15-44_Pop,15-44_Percentage,Median_Age,Total_Households,"$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more",Median income (dollars),Total_Income_Above_Target
66062,76000,6149,0.081,32145,0.423,35.9,27740,0.141,0.127,0.261,0.151,0.117,104572,0.797
66061,66267,4765,0.072,26385,0.398,36.1,22894,0.126,0.161,0.226,0.129,0.125,97367,0.767
66044,29266,11261,0.385,19390,0.663,24.9,11620,0.177,0.093,0.113,0.052,0.04,47500,0.475
64118,43305,3448,0.08,18209,0.42,35.8,18043,0.186,0.153,0.162,0.048,0.034,62980,0.583
64068,36780,3202,0.087,14631,0.398,37.2,13467,0.157,0.169,0.208,0.094,0.07,81910,0.698
66212,32996,3228,0.098,14505,0.44,36.6,14579,0.197,0.163,0.168,0.076,0.053,69158,0.657
66048,36185,3204,0.089,13643,0.377,41,14077,0.162,0.126,0.176,0.089,0.043,63541,0.596
64133,36700,2270,0.062,13476,0.367,40.1,15298,0.196,0.154,0.154,0.052,0.014,57088,0.57
66102,30874,3378,0.109,13377,0.433,28.6,10043,0.197,0.114,0.076,0.02,0.017,40651,0.424
64055,36226,2952,0.081,13312,0.367,42.4,15411,0.208,0.163,0.156,0.038,0.025,61997,0.59
64119,32461,2504,0.077,13232,0.408,37.5,13185,0.219,0.179,0.171,0.072,0.049,70840,0.69
66213,30161,2304,0.076,11863,0.393,40,12750,0.136,0.125,0.203,0.155,0.182,108093,0.801
64152,31560,2491,0.079,11683,0.37,40.9,11802,0.138,0.153,0.189,0.118,0.189,99459,0.787
64155,28091,2467,0.088,11329,0.403,36.8,10574,0.211,0.141,0.213,0.113,0.075,82580,0.753
64015,31269,2237,0.072,11127,0.356,39.5,12125,0.198,0.14,0.211,0.103,0.06,77214,0.712
64151,27653,1958,0.071,11031,0.399,39.2,11577,0.195,0.149,0.209,0.099,0.075,79162,0.727
66109,27507,2011,0.073,10920,0.397,37.7,9566,0.184,0.149,0.245,0.104,0.082,88734,0.764
66030,24990,1882,0.075,10888,0.436,32.8,8552,0.188,0.205,0.214,0.099,0.055,83618,0.761
64030,25801,2289,0.089,10657,0.413,36.7,10806,0.2,0.106,0.112,0.032,0.029,48008,0.479
64111,17039,1996,0.117,10604,0.622,32.8,10418,0.201,0.139,0.121,0.054,0.04,55781,0.555
64014,28044,1840,0.066,10532,0.376,36.1,10286,0.22,0.138,0.233,0.099,0.048,78448,0.738
64012,27884,2106,0.076,10465,0.375,38.4,11250,0.206,0.169,0.163,0.071,0.055,70230,0.664
66223,26050,1762,0.068,10404,0.399,36.6,9984,0.156,0.15,0.213,0.148,0.164,102239,0.831
66215,25731,1708,0.066,10265,0.399,40.3,11240,0.202,0.139,0.264,0.078,0.057,80438,0.74
64131,22901,2198,0.096,10125,0.442,36.1,9735,0.146,0.147,0.145,0.069,0.031,56043,0.538
66104,26638,2196,0.082,9908,0.372,34.7,9418,0.203,0.096,0.135,0.019,0.006,47016,0.459
66204,18530,2517,0.136,9769,0.527,34,8582,0.227,0.173,0.182,0.053,0.045,67167,0.68
64138,24185,2488,0.103,9745,0.403,39.8,10468,0.175,0.129,0.1,0.044,0.026,46364,0.474
64114,24700,1049,0.042,9739,0.394,42.2,12707,0.205,0.155,0.175,0.091,0.057,71460,0.683
64110,17400,3353,0.193,9705,0.558,30.7,7441,0.167,0.1,0.13,0.05,0.063,50873,0.51
66106,23817,2124,0.089,9671,0.406,35.4,8392,0.176,0.16,0.151,0.038,0.021,54437,0.546
64086,23635,1801,0.076,9270,0.392,37.7,8908,0.146,0.164,0.254,0.126,0.119,99777,0.809
64081,25169,1247,0.05,9103,0.362,38.4,9766,0.134,0.119,0.219,0.144,0.129,96931,0.745
64063,21453,1801,0.084,9060,0.422,35.6,8662,0.155,0.139,0.239,0.048,0.066,74189,0.647
64083,24501,1428,0.058,8814,0.36,41.2,9292,0.119,0.145,0.243,0.129,0.076,88668,0.712
66216,24959,2167,0.087,8810,0.353,41.5,9559,0.128,0.167,0.233,0.086,0.179,99575,0.793
64157,21539,744,0.035,8539,0.396,36.9,7118,0.153,0.126,0.274,0.151,0.204,124564,0.908
66210,19603,2260,0.115,8523,0.435,39.1,9021,0.182,0.174,0.224,0.099,0.088,84770,0.767
64052,22479,1500,0.067,8484,0.377,38.6,9398,0.216,0.113,0.103,0.039,0.003,47833,0.474
66203,18812,1735,0.092,8464,0.45,38.9,7881,0.23,0.174,0.159,0.076,0.032,66187,0.671
66202,17068,1776,0.104,8329,0.488,33.8,8474,0.229,0.169,0.136,0.066,0.048,63613,0.648
66208,21662,1198,0.055,8111,0.374,40.4,9299,0.186,0.122,0.184,0.115,0.204,100643,0.811
64029,20731,1355,0.065,8078,0.39,36.9,7385,0.226,0.202,0.216,0.089,0.046,82607,0.779
64050,21548,2156,0.1,8072,0.375,39.9,9448,0.158,0.125,0.098,0.044,0.014,42452,0.439
66221,24107,1545,0.064,8070,0.335,39.2,8085,0.091,0.054,0.159,0.119,0.462,180037,0.885
64056,17501,1133,0.065,7033,0.402,32.2,5952,0.188,0.138,0.177,0.057,0.036,63947,0.596
66103,13471,1554,0.115,6891,0.512,32.8,6163,0.213,0.111,0.122,0.03,0.024,49970,0.5
64130,19355,1599,0.083,6817,0.352,39.5,8559,0.146,0.074,0.095,0.026,0.009,37824,0.35
64082,18545,1094,0.059,6768,0.365,39.6,6161,0.107,0.125,0.309,0.149,0.2,127475,0.89
66219,13976,1652,0.118,6402,0.458,35.9,6598,0.178,0.15,0.177,0.135,0.107,84492,0.747
64127,17360,1315,0.076,6315,0.364,35.2,7112,0.111,0.076,0.053,0.011,0.004,29648,0.255
64117,14677,1001,0.068,6297,0.429,36.7,6422,0.137,0.182,0.14,0.034,0.023,52182,0.516
64106,10830,1231,0.114,6091,0.562,30.1,5368,0.127,0.09,0.125,0.055,0.056,39358,0.453
66205,14046,1213,0.086,6086,0.433,38.2,6294,0.125,0.159,0.204,0.077,0.16,88665,0.725
66209,19288,996,0.052,5815,0.301,49.6,8076,0.112,0.128,0.168,0.124,0.293,121760,0.825
64024,15146,1597,0.105,5739,0.379,38.3,5392,0.179,0.167,0.201,0.079,0.024,71622,0.65
66002,13125,2157,0.164,5613,0.428,33.9,4632,0.175,0.162,0.136,0.028,0.021,52056,0.522
64132,13100,1139,0.087,5502,0.42,33.9,5112,0.205,0.108,0.069,0.012,0.002,39513,0.396
64060,15575,922,0.059,5463,0.351,41.7,5916,0.122,0.158,0.244,0.147,0.083,96935,0.754
66101,12410,1135,0.091,5357,0.432,31.8,4904,0.142,0.064,0.068,0.003,0.008,30296,0.285
64080,14116,1353,0.096,5347,0.379,37.7,5108,0.159,0.125,0.254,0.135,0.041,82331,0.714
66214,11706,1464,0.125,5308,0.453,34.1,5181,0.182,0.157,0.174,0.06,0.057,65684,0.63
66207,15183,850,0.056,5248,0.346,43.3,6194,0.116,0.145,0.216,0.119,0.197,107308,0.793
64089,13723,968,0.071,5062,0.369,38.1,5021,0.198,0.195,0.272,0.095,0.06,88107,0.82
66112,12868,795,0.062,4996,0.388,33.8,4884,0.25,0.109,0.098,0.026,0.017,50030,0.5
64079,13249,995,0.075,4867,0.367,35.9,4680,0.157,0.123,0.277,0.079,0.11,89292,0.746
64128,12076,1027,0.085,4360,0.361,39,5056,0.168,0.075,0.049,0.012,0.015,29890,0.319
64075,11818,822,0.07,4288,0.363,38.3,4185,0.17,0.173,0.188,0.084,0.063,77243,0.678
64113,12323,329,0.027,4138,0.336,41.1,4679,0.068,0.087,0.202,0.166,0.371,159984,0.894
66224,12349,748,0.061,3740,0.303,43.5,4626,0.054,0.086,0.148,0.232,0.383,172829,0.903
66206,11557,608,0.053,3484,0.301,43.3,4562,0.065,0.069,0.224,0.163,0.345,151800,0.866
